ts,src_ip,dst_ip,src_port,dst_port,payload_len,is_query
8.024213,10.0.2.16,8.8.8.8,50005,53,34,1
8.099325,8.8.8.8,10.0.2.16,53,50005,139,0
8.101208,10.0.2.16,8.8.8.8,51357,53,34,1
8.175779,8.8.8.8,10.0.2.16,53,51357,139,0
432.051039,10.0.2.16,8.8.8.8,64271,53,32,1
432.124885,8.8.8.8,10.0.2.16,53,64271,128,0
432.341728,10.0.2.16,8.8.8.8,57037,53,31,1
432.418611,8.8.8.8,10.0.2.16,53,57037,47,0
2352.765767,10.0.2.16,8.8.8.8,51898,53,34,1
2352.839796,8.8.8.8,10.0.2.16,53,51898,50,0
2352.840434,10.0.2.16,8.8.8.8,58451,53,34,1
2352.914222,8.8.8.8,10.0.2.16,53,58451,62,0
4252.748624,10.0.2.16,8.8.8.8,55140,53,34,1
4252.822832,8.8.8.8,10.0.2.16,53,55140,50,0
4252.823565,10.0.2.16,8.8.8.8,54706,53,34,1
4252.896727,8.8.8.8,10.0.2.16,53,54706,62,0
6067.718167,10.0.2.16,8.8.8.8,54152,53,34,1
6067.792362,8.8.8.8,10.0.2.16,53,54152,50,0
6067.793004,10.0.2.16,8.8.8.8,51034,53,34,1
6067.866154,8.8.8.8,10.0.2.16,53,51034,62,0
